"tensor(1.5356, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(1.2371, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(1.0417, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(1.1017, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.8306, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.4779, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.4564, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(1.5522, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(1.0964, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(1.0920, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.9542, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.8199, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.7586, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.5658, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.4212, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.4604, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.5649, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.3804, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.3635, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.2651, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.2625, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.2655, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.2220, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.2796, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.2027, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.2309, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.1452, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.1263, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.1454, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.1025, device='cuda:0', grad_fn=<NllLossBackward0>)","tensor(0.1257, device='cuda:0', grad_fn=<NllLossBackward0>)"
"tensor(0.0030, device='cuda:0')","tensor(0.0022, device='cuda:0')","tensor(0.0017, device='cuda:0')","tensor(0.0033, device='cuda:0')","tensor(0.0021, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0012, device='cuda:0')","tensor(0.0029, device='cuda:0')","tensor(0.0022, device='cuda:0')","tensor(0.0031, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0012, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0012, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0007, device='cuda:0')","tensor(0.0007, device='cuda:0')","tensor(0.0007, device='cuda:0')","tensor(0.0006, device='cuda:0')","tensor(0.0007, device='cuda:0')","tensor(0.0006, device='cuda:0')","tensor(0.0006, device='cuda:0')","tensor(0.0006, device='cuda:0')","tensor(0.0005, device='cuda:0')","tensor(0.0005, device='cuda:0')","tensor(0.0005, device='cuda:0')","tensor(0.0005, device='cuda:0')","tensor(0.0005, device='cuda:0')"
34.432,52.32,62.09,67.24,72.488,77.296,79.926,33.306,52.02,61.62,66.936,72.738,76.896,79.408,82.082,83.168,84.718,85.93,87.262,88.374,89.706,89.952,91.076,91.458,92.538,93.238,94.018,94.582,95.106,95.272,95.642
45.73,60.26,70.04,59.85,67.66,78.04,78.78,46.95,60.26,55.38,70.03,76.64,79.69,82.87,81.18,86.53,84.79,85.85,88.23,88.77,88.85,90.18,89.63,90.49,91.1,91.61,92.01,91.83,91.94,92.16,92.39
